"blues","interchange","borrowed_sub","dissonance","consonance","composer"
0.0273760683760684,0.0933139083139083,0.0341577311577312,0.540362082362082,0.138962703962704,"bach"
0.030153810835629,0.046121176802995,0.00216450216450216,0.554640183049274,0.141786496331951,"bach"
0.0268842268842269,0.0482517482517483,0.0117521367521368,0.573194398194398,0.154032079032079,"bach"
0.0358134920634921,0.0536706349206349,0.00892857142857143,0.514980158730159,0.170138888888889,"bach"
0.00385743288969095,0.0150157947878648,0.000586510263929619,0.599472516705245,0.117030062643163,"bach"
0.0230297918455813,0.109885950523654,0.0321513224888511,0.537176989938465,0.144383309852081,"bach"
0.00769605022478586,0.070682478281968,0.0342718783357017,0.520968671801005,0.180911143778597,"bach"
0.0388648135019103,0.129588709820126,0.042653294383659,0.520746951998705,0.156827898544238,"bach"
0.00968792866941015,0.0333609425495803,0.00123456790123457,0.595274260415866,0.125500338981467,"bach"
0.0300713080461364,0.0461940741689025,0.0123700775874689,0.584752415241041,0.150410958437274,"bach"
0.0163989926633605,0.0854279072667101,0.0579643792637296,0.517726963345821,0.15105015103849,"bach"
0.0286399099958422,0.030523149167217,0.0137678235135862,0.57588781275222,0.160987599970651,"bach"
0.0514346764346764,0.0949404761904762,0.0353479853479853,0.514323870573871,0.164102564102564,"bach"
0.0328922662482445,0.0798517831805875,0.00582298136645963,0.546270491284078,0.166114225448465,"bach"
0.10270247832588,0.141392476186607,0.0531907492904935,0.591409637164669,0.195669401459779,"joplin"
0.0527289132306365,0.0762586016993493,0.0327569026501953,0.602404362081798,0.155678341219657,"joplin"
0.035451213176463,0.039723717632791,0.0131754293686112,0.626883824197153,0.109766250263626,"joplin"
0.0387538664931779,0.0441364876223666,0.00923986387373115,0.697735958453499,0.110651401147513,"joplin"
0.0664339639233702,0.0764856584044125,0.0320870724522492,0.634859536107884,0.145626543976524,"joplin"
0.0236076075971254,0.0344149219758684,0.0223647671629038,0.640650792436726,0.129267262947088,"joplin"
0.0439916326615657,0.0587709164458761,0.025525105845661,0.66922443650883,0.119008105314124,"joplin"
0.0406606140624748,0.0610327022917059,0.011734693877551,0.648771192626235,0.151713206927793,"joplin"
0.034844196479071,0.0422013320970762,0.0354597050235993,0.618184123135722,0.137244925240063,"joplin"
